姓名,姓氏,字辈,性别,排序,出生日期,逝世日期,是否离世,籍贯,职业,父亲,母亲,配偶,是否入赘,是否招夫养子,生平简介,突出事迹
兴63085,孔,兴,男,96,1188-01-01,1252-01-01,是,河南,学者,衍62014,,,,,,
兴63086,孔,兴,男,82,1182-01-01,1245-01-01,是,江苏,农,衍62131,,,,,,
兴63087,孔,兴,男,67,1186-01-01,1274-01-01,是,河南,学者,衍62078,,,,,,
兴63088,孔,兴,男,11,1185-01-01,1264-01-01,是,河南,学者,衍62008,,,,,,
兴63089,孔,兴,男,83,1176-01-01,1240-01-01,是,江苏,儒,衍62034,,,,,,
兴63090,孔,兴,男,91,1189-01-01,1258-01-01,是,河南,商,衍62011,,,,,,
兴63091,孔,兴,男,7,1193-01-01,1265-01-01,是,浙江,农,衍62087,,,,,,
兴63092,孔,兴,男,36,1178-01-01,1267-01-01,是,安徽,学者,衍62089,,,,,,
兴63093,孔,兴,男,38,1196-01-01,1266-01-01,是,江苏,儒,衍62047,,,,,,
兴63094,孔,兴,男,66,1181-01-01,1241-01-01,是,安徽,工,衍62091,,,,,,
兴63095,孔,兴,男,76,1185-01-01,1262-01-01,是,河南,农,衍62025,,,,,,
兴63096,孔,兴,男,11,1184-01-01,1256-01-01,是,江苏,工,衍62041,,,,,,
兴63097,孔,兴,男,38,1191-01-01,1281-01-01,是,河南,学者,衍62071,,,,,,
兴63098,孔,兴,男,82,1189-01-01,1259-01-01,是,山东,儒,衍62034,,,,,,
兴63099,孔,兴,男,3,1196-01-01,1273-01-01,是,河南,商,衍62109,,,,,,
兴63100,孔,兴,男,33,1186-01-01,1256-01-01,是,山东,学者,衍62116,,,,,,
兴63101,孔,兴,男,99,1196-01-01,1259-01-01,是,江苏,商,衍62065,,,,,,
兴63102,孔,兴,男,3,1187-01-01,1258-01-01,是,安徽,商,衍62060,,,,,,
兴63103,孔,兴,男,47,1192-01-01,1263-01-01,是,浙江,商,衍62052,,,,,,
兴63104,孔,兴,男,42,1181-01-01,1246-01-01,是,江苏,农,衍62031,,,,,,
兴63105,孔,兴,男,30,1176-01-01,1236-01-01,是,山东,儒,衍62065,,,,,,
兴63106,孔,兴,男,96,1194-01-01,1278-01-01,是,曲阜,工,衍62022,,,,,,
兴63107,孔,兴,男,46,1191-01-01,1263-01-01,是,江苏,商,衍62115,,,,,,
兴63108,孔,兴,男,79,1180-01-01,1265-01-01,是,曲阜,工,衍62077,,,,,,
兴63109,孔,兴,男,89,1185-01-01,1271-01-01,是,山东,工,衍62104,,,,,,
兴63110,孔,兴,男,15,1186-01-01,1269-01-01,是,浙江,士,衍62052,,,,,,
兴63111,孔,兴,男,3,1186-01-01,1247-01-01,是,山东,士,衍62113,,,,,,
兴63112,孔,兴,男,35,1186-01-01,1254-01-01,是,江苏,农,衍62043,,,,,,
兴63113,孔,兴,男,55,1178-01-01,1246-01-01,是,安徽,农,衍62133,,,,,,
兴63114,孔,兴,男,14,1185-01-01,1257-01-01,是,浙江,士,衍62025,,,,,,
兴63115,孔,兴,男,5,1181-01-01,1249-01-01,是,江苏,商,衍62121,,,,,,
兴63116,孔,兴,男,65,1193-01-01,1267-01-01,是,江苏,儒,衍62112,,,,,,
兴63117,孔,兴,男,10,1182-01-01,1259-01-01,是,山东,商,衍62083,,,,,,
兴63118,孔,兴,男,34,1195-01-01,1262-01-01,是,江苏,工,衍62005,,,,,,
兴63119,孔,兴,男,74,1181-01-01,1264-01-01,是,河南,学者,衍62004,,,,,,
兴63120,孔,兴,男,28,1195-01-01,1261-01-01,是,江苏,工,衍62062,,,,,,
兴63121,孔,兴,男,70,1182-01-01,1243-01-01,是,江苏,农,衍62136,,,,,,
兴63122,孔,兴,男,73,1187-01-01,1271-01-01,是,山东,农,衍62122,,,,,,
兴63123,孔,兴,男,1,1191-01-01,1253-01-01,是,河南,士,衍62040,,,,,,
兴63124,孔,兴,男,60,1194-01-01,1263-01-01,是,江苏,商,衍62038,,,,,,
兴63125,孔,兴,男,78,1188-01-01,1256-01-01,是,曲阜,农,衍62055,,,,,,
兴63126,孔,兴,男,79,1177-01-01,1242-01-01,是,山东,商,衍62002,,,,,,
兴63127,孔,兴,男,14,1181-01-01,1248-01-01,是,江苏,农,衍62014,,,,,,
兴63128,孔,兴,男,11,1176-01-01,1262-01-01,是,浙江,商,衍62127,,,,,,
兴63129,孔,兴,男,19,1184-01-01,1271-01-01,是,安徽,官员,衍62089,,,,,,
兴63130,孔,兴,男,64,1179-01-01,1259-01-01,是,浙江,工,衍62045,,,,,,
兴63131,孔,兴,男,16,1196-01-01,1278-01-01,是,浙江,工,衍62006,,,,,,
兴63132,孔,兴,男,41,1191-01-01,1270-01-01,是,江苏,农,衍62009,,,,,,
兴63133,孔,兴,男,19,1184-01-01,1263-01-01,是,安徽,儒,衍62078,,,,,,
兴63134,孔,兴,男,58,1193-01-01,1274-01-01,是,安徽,工,衍62138,,,,,,
兴63135,孔,兴,男,19,1189-01-01,1274-01-01,是,江苏,商,衍62092,,,,,,
兴63136,孔,兴,男,86,1194-01-01,1276-01-01,是,浙江,商,衍62110,,,,,,
兴63137,孔,兴,男,40,1178-01-01,1260-01-01,是,浙江,士,衍62142,,,,,,
兴63138,孔,兴,男,19,1182-01-01,1255-01-01,是,浙江,士,衍62144,,,,,,
兴63139,孔,兴,男,60,1187-01-01,1257-01-01,是,江苏,官员,衍62085,,,,,,
兴63140,孔,兴,男,33,1180-01-01,1256-01-01,是,江苏,学者,衍62084,,,,,,
兴63141,孔,兴,男,95,1181-01-01,1262-01-01,是,江苏,学者,衍62112,,,,,,
兴63142,孔,兴,男,96,1181-01-01,1255-01-01,是,山东,学者,衍62120,,,,,,
兴63143,孔,兴,男,70,1180-01-01,1240-01-01,是,安徽,官员,衍62090,,,,,,
兴63144,孔,兴,男,58,1190-01-01,1268-01-01,是,山东,农,衍62044,,,,,,
兴63145,孔,兴,男,2,1180-01-01,1270-01-01,是,河南,士,孔振2,,,,,,
兴63146,孔,兴,男,19,1184-01-01,1257-01-01,是,曲阜,学者,衍62038,,,,,,
兴63147,孔,兴,男,33,1181-01-01,1249-01-01,是,安徽,官员,衍62135,,,,,,
兴63148,孔,兴,男,28,1177-01-01,1265-01-01,是,山东,农,衍62129,,,,,,
兴63149,孔,兴,男,74,1193-01-01,1256-01-01,是,河南,工,衍62002,,,,,,
振64000,孔,振,男,48,1222-01-01,1297-01-01,是,江苏,儒,兴63069,,,,,,
振64001,孔,振,男,97,1214-01-01,1301-01-01,是,河南,工,兴63037,,,,,,
振64002,孔,振,男,95,1217-01-01,1286-01-01,是,浙江,学者,兴63137,,,,,,
振64003,孔,振,男,31,1214-01-01,1276-01-01,是,浙江,农,兴63007,,,,,,
振64004,孔,振,男,64,1214-01-01,1299-01-01,是,安徽,儒,兴63004,,,,,,
振64005,孔,振,男,44,1214-01-01,1297-01-01,是,安徽,工,兴63013,,,,,,
振64006,孔,振,男,98,1212-01-01,1296-01-01,是,曲阜,农,兴63135,,,,,,
振64007,孔,振,男,70,1204-01-01,1286-01-01,是,安徽,商,兴63090,,,,,,
振64008,孔,振,男,40,1214-01-01,1298-01-01,是,江苏,士,兴63048,,,,,,
振64009,孔,振,男,68,1224-01-01,1314-01-01,是,河南,工,兴63000,,,,,,
振64010,孔,振,男,83,1220-01-01,1292-01-01,是,河南,工,兴63137,,,,,,
振64011,孔,振,男,35,1217-01-01,1302-01-01,是,曲阜,学者,兴63114,,,,,,
振64012,孔,振,男,99,1212-01-01,1288-01-01,是,曲阜,商,兴63038,,,,,,
振64013,孔,振,男,68,1221-01-01,1298-01-01,是,安徽,商,兴63149,,,,,,
振64014,孔,振,男,38,1205-01-01,1279-01-01,是,江苏,儒,兴63024,,,,,,
振64015,孔,振,男,7,1215-01-01,1282-01-01,是,山东,士,兴63006,,,,,,
振64016,孔,振,男,79,1214-01-01,1279-01-01,是,河南,官员,兴63124,,,,,,
振64017,孔,振,男,60,1223-01-01,1290-01-01,是,曲阜,学者,兴63014,,,,,,
振64018,孔,振,男,53,1208-01-01,1289-01-01,是,浙江,商,兴63104,,,,,,
振64019,孔,振,男,5,1211-01-01,1298-01-01,是,江苏,儒,兴63081,,,,,,
振64020,孔,振,男,21,1223-01-01,1304-01-01,是,江苏,农,兴63047,,,,,,
振64021,孔,振,男,40,1216-01-01,1304-01-01,是,山东,工,兴63079,,,,,,
振64022,孔,振,男,79,1219-01-01,1288-01-01,是,安徽,儒,兴63033,,,,,,
振64023,孔,振,男,76,1218-01-01,1292-01-01,是,山东,官员,兴63002,,,,,,
振64024,孔,振,男,72,1219-01-01,1291-01-01,是,江苏,士,兴63147,,,,,,
振64025,孔,振,男,82,1218-01-01,1299-01-01,是,江苏,农,兴63132,,,,,,
振64026,孔,振,男,6,1214-01-01,1274-01-01,是,江苏,工,兴63148,,,,,,
振64027,孔,振,男,51,1213-01-01,1296-01-01,是,江苏,官员,兴63095,,,,,,
振64028,孔,振,男,59,1222-01-01,1284-01-01,是,河南,士,兴63038,,,,,,
振64029,孔,振,男,24,1204-01-01,1273-01-01,是,江苏,官员,兴63020,,,,,,
振64030,孔,振,男,55,1214-01-01,1284-01-01,是,江苏,工,兴63133,,,,,,
振64031,孔,振,男,12,1224-01-01,1303-01-01,是,安徽,官员,兴63050,,,,,,
振64032,孔,振,男,96,1223-01-01,1288-01-01,是,浙江,商,兴63100,,,,,,
振64033,孔,振,男,44,1206-01-01,1286-01-01,是,山东,士,兴63069,,,,,,
振64034,孔,振,男,79,1222-01-01,1299-01-01,是,安徽,农,兴63012,,,,,,
振64035,孔,振,男,41,1213-01-01,1293-01-01,是,河南,商,兴63083,,,,,,
振64036,孔,振,男,50,1219-01-01,1305-01-01,是,山东,农,兴63063,,,,,,
振64037,孔,振,男,83,1213-01-01,1275-01-01,是,江苏,士,兴63016,,,,,,
振64038,孔,振,男,23,1209-01-01,1289-01-01,是,河南,学者,兴63112,,,,,,
振64039,孔,振,男,28,1205-01-01,1291-01-01,是,曲阜,士,兴63092,,,,,,
振64040,孔,振,男,41,1214-01-01,1301-01-01,是,山东,农,兴63113,,,,,,
振64041,孔,振,男,31,1208-01-01,1274-01-01,是,曲阜,官员,兴63114,,,,,,
振64042,孔,振,男,75,1205-01-01,1282-01-01,是,浙江,农,兴63064,,,,,,
振64043,孔,振,男,15,1211-01-01,1271-01-01,是,山东,商,兴63003,,,,,,
振64044,孔,振,男,35,1207-01-01,1294-01-01,是,曲阜,官员,兴63026,,,,,,
振64045,孔,振,男,5,1206-01-01,1292-01-01,是,曲阜,学者,兴63134,,,,,,
振64046,孔,振,男,87,1207-01-01,1268-01-01,是,安徽,工,孔毓2,,,,,,
振64047,孔,振,男,28,1210-01-01,1295-01-01,是,曲阜,商,兴63030,,,,,,
振64048,孔,振,男,77,1222-01-01,1286-01-01,是,安徽,官员,兴63039,,,,,,
振64049,孔,振,男,100,1220-01-01,1310-01-01,是,江苏,农,兴63128,,,,,,
振64050,孔,振,男,63,1208-01-01,1281-01-01,是,曲阜,商,兴63127,,,,,,
振64051,孔,振,男,64,1211-01-01,1272-01-01,是,安徽,工,兴63000,,,,,,
振64052,孔,振,男,82,1210-01-01,1272-01-01,是,河南,农,兴63121,,,,,,
振64053,孔,振,男,18,1216-01-01,1303-01-01,是,江苏,学者,兴63081,,,,,,
振64054,孔,振,男,66,1209-01-01,1298-01-01,是,浙江,儒,兴63008,,,,,,
振64055,孔,振,男,11,1206-01-01,1281-01-01,是,浙江,官员,兴63035,,,,,,
振64056,孔,振,男,45,1207-01-01,1291-01-01,是,山东,工,兴63001,,,,,,
振64057,孔,振,男,13,1216-01-01,1285-01-01,是,安徽,官员,兴63138,,,,,,
振64058,孔,振,男,93,1210-01-01,1298-01-01,是,河南,儒,兴63021,,,,,,
振64059,孔,振,男,2,1218-01-01,1295-01-01,是,河南,工,兴63121,,,,,,
振64060,孔,振,男,40,1215-01-01,1292-01-01,是,浙江,工,兴63017,,,,,,
振64061,孔,振,男,81,1219-01-01,1309-01-01,是,河南,商,兴63093,,,,,,
振64062,孔,振,男,74,1214-01-01,1282-01-01,是,浙江,士,兴63054,,,,,,
振64063,孔,振,男,6,1205-01-01,1293-01-01,是,浙江,学者,兴63048,,,,,,
振64064,孔,振,男,78,1220-01-01,1300-01-01,是,山东,士,兴63006,,,,,,
振64065,孔,振,男,31,1213-01-01,1278-01-01,是,山东,农,兴63053,,,,,,
振64066,孔,振,男,21,1211-01-01,1290-01-01,是,浙江,儒,兴63144,,,,,,
振64067,孔,振,男,88,1217-01-01,1303-01-01,是,河南,儒,兴63037,,,,,,
振64068,孔,振,男,42,1219-01-01,1301-01-01,是,浙江,商,兴63130,,,,,,
振64069,孔,振,男,86,1204-01-01,1284-01-01,是,河南,儒,兴63140,,,,,,
振64070,孔,振,男,62,1211-01-01,1280-01-01,是,河南,农,兴63120,,,,,,
振64071,孔,振,男,82,1205-01-01,1289-01-01,是,河南,学者,兴63045,,,,,,
振64072,孔,振,男,61,1219-01-01,1297-01-01,是,河南,商,兴63118,,,,,,
振64073,孔,振,男,71,1209-01-01,1276-01-01,是,曲阜,士,兴63072,,,,,,
振64074,孔,振,男,38,1218-01-01,1294-01-01,是,江苏,儒,兴63138,,,,,,
振64075,孔,振,男,14,1204-01-01,1276-01-01,是,曲阜,官员,兴63089,,,,,,
振64076,孔,振,男,14,1209-01-01,1291-01-01,是,江苏,官员,兴63103,,,,,,
振64077,孔,振,男,44,1209-01-01,1291-01-01,是,安徽,工,兴63082,,,,,,
振64078,孔,振,男,5,1209-01-01,1285-01-01,是,山东,学者,兴63034,,,,,,
振64079,孔,振,男,39,1221-01-01,1308-01-01,是,山东,儒,兴63107,,,,,,
振64080,孔,振,男,22,1207-01-01,1283-01-01,是,河南,官员,兴63072,,,,,,
振64081,孔,振,男,53,1220-01-01,1280-01-01,是,江苏,官员,兴63031,,,,,,
振64082,孔,振,男,23,1207-01-01,1292-01-01,是,曲阜,工,兴63089,,,,,,
振64083,孔,振,男,43,1220-01-01,1307-01-01,是,浙江,商,兴63148,,,,,,
振64084,孔,振,男,36,1219-01-01,1279-01-01,是,曲阜,官员,兴63067,,,,,,
振64085,孔,振,男,42,1223-01-01,1294-01-01,是,曲阜,商,兴63067,,,,,,
振64086,孔,振,男,90,1220-01-01,1286-01-01,是,山东,学者,兴63070,,,,,,
振64087,孔,振,男,8,1216-01-01,1288-01-01,是,安徽,农,兴63016,,,,,,
振64088,孔,振,男,87,1224-01-01,1312-01-01,是,浙江,工,兴63050,,,,,,
振64089,孔,振,男,40,1223-01-01,1308-01-01,是,江苏,学者,兴63088,,,,,,
振64090,孔,振,男,72,1219-01-01,1303-01-01,是,曲阜,农,兴63072,,,,,,
振64091,孔,振,男,65,1212-01-01,1290-01-01,是,安徽,商,兴63113,,,,,,
振64092,孔,振,男,58,1223-01-01,1285-01-01,是,河南,官员,兴63069,,,,,,
振64093,孔,振,男,55,1221-01-01,1297-01-01,是,江苏,儒,兴63146,,,,,,
振64094,孔,振,男,16,1209-01-01,1299-01-01,是,安徽,工,兴63113,,,,,,
振64095,孔,振,男,56,1206-01-01,1289-01-01,是,浙江,士,兴63044,,,,,,
振64096,孔,振,男,61,1223-01-01,1283-01-01,是,山东,工,兴63033,,,,,,
振64097,孔,振,男,67,1221-01-01,1310-01-01,是,山东,农,兴63083,,,,,,
振64098,孔,振,男,59,1204-01-01,1271-01-01,是,河南,官员,兴63057,,,,,,
振64099,孔,振,男,32,1210-01-01,1285-01-01,是,河南,工,兴63048,,,,,,
振64100,孔,振,男,50,1206-01-01,1295-01-01,是,浙江,官员,兴63018,,,,,,
振64101,孔,振,男,53,1206-01-01,1271-01-01,是,山东,工,兴63007,,,,,,
振64102,孔,振,男,45,1204-01-01,1291-01-01,是,江苏,士,兴63069,,,,,,
振64103,孔,振,男,95,1215-01-01,1298-01-01,是,安徽,儒,兴63062,,,,,,
振64104,孔,振,男,65,1205-01-01,1267-01-01,是,浙江,官员,兴63045,,,,,,
振64105,孔,振,男,97,1216-01-01,1290-01-01,是,河南,商,兴63031,,,,,,
振64106,孔,振,男,1,1224-01-01,1301-01-01,是,江苏,士,兴63007,,,,,,
振64107,孔,振,男,80,1206-01-01,1290-01-01,是,曲阜,官员,兴63133,,,,,,
振64108,孔,振,男,3,1222-01-01,1284-01-01,是,安徽,士,兴63115,,,,,,
振64109,孔,振,男,75,1222-01-01,1310-01-01,是,安徽,儒,兴63109,,,,,,
振64110,孔,振,男,85,1214-01-01,1291-01-01,是,曲阜,士,兴63099,,,,,,
振64111,孔,振,男,79,1211-01-01,1274-01-01,是,河南,士,兴63135,,,,,,
振64112,孔,振,男,9,1216-01-01,1286-01-01,是,曲阜,商,兴63147,,,,,,
振64113,孔,振,男,49,1204-01-01,1264-01-01,是,江苏,士,兴63051,,,,,,
振64114,孔,振,男,49,1212-01-01,1279-01-01,是,浙江,农,兴63003,,,,,,
振64115,孔,振,男,63,1219-01-01,1302-01-01,是,山东,工,兴63114,,,,,,
振64116,孔,振,男,98,1220-01-01,1284-01-01,是,山东,官员,兴63124,,,,,,
振64117,孔,振,男,31,1209-01-01,1290-01-01,是,河南,农,兴63101,,,,,,
振64118,孔,振,男,23,1206-01-01,1291-01-01,是,曲阜,官员,兴63147,,,,,,
振64119,孔,振,男,16,1206-01-01,1267-01-01,是,山东,商,兴63040,,,,,,
振64120,孔,振,男,92,1221-01-01,1301-01-01,是,浙江,学者,兴63010,,,,,,
振64121,孔,振,男,100,1210-01-01,1299-01-01,是,浙江,工,兴63035,,,,,,
振64122,孔,振,男,96,1209-01-01,1281-01-01,是,安徽,学者,兴63031,,,,,,
振64123,孔,振,男,85,1214-01-01,1279-01-01,是,江苏,商,兴63136,,,,,,
振64124,孔,振,男,50,1215-01-01,1284-01-01,是,河南,工,兴63149,,,,,,
振64125,孔,振,男,34,1219-01-01,1288-01-01,是,曲阜,学者,兴63102,,,,,,
振64126,孔,振,男,1,1214-01-01,1291-01-01,是,曲阜,学者,兴63044,,,,,,
振64127,孔,振,男,60,1211-01-01,1298-01-01,是,河南,士,兴63137,,,,,,
振64128,孔,振,男,76,1205-01-01,1278-01-01,是,江苏,学者,兴63014,,,,,,
振64129,孔,振,男,4,1219-01-01,1280-01-01,是,江苏,工,兴63069,,,,,,
振64130,孔,振,男,7,1224-01-01,1293-01-01,是,安徽,儒,兴63093,,,,,,
振64131,孔,振,男,48,1210-01-01,1297-01-01,是,曲阜,士,兴63078,,,,,,
振64132,孔,振,男,92,1204-01-01,1267-01-01,是,曲阜,学者,兴63017,,,,,,
振64133,孔,振,男,5,1213-01-01,1300-01-01,是,山东,官员,兴63138,,,,,,
振64134,孔,振,男,1,1221-01-01,1283-01-01,是,曲阜,儒,兴63077,,,,,,
振64135,孔,振,男,58,1221-01-01,1281-01-01,是,江苏,农,兴63026,,,,,,
振64136,孔,振,男,47,1209-01-01,1296-01-01,是,山东,农,兴63147,,,,,,
振64137,孔,振,男,100,1211-01-01,1291-01-01,是,江苏,工,兴63085,,,,,,
振64138,孔,振,男,38,1209-01-01,1277-01-01,是,曲阜,官员,兴63145,,,,,,
振64139,孔,振,男,6,1222-01-01,1288-01-01,是,安徽,士,兴63022,,,,,,
振64140,孔,振,男,41,1215-01-01,1289-01-01,是,安徽,学者,兴63091,,,,,,
振64141,孔,振,男,65,1212-01-01,1302-01-01,是,曲阜,学者,兴63106,,,,,,
振64142,孔,振,男,17,1215-01-01,1287-01-01,是,浙江,商,兴63032,,,,,,
振64143,孔,振,男,27,1205-01-01,1282-01-01,是,曲阜,儒,兴63087,,,,,,
振64144,孔,振,男,95,1219-01-01,1306-01-01,是,曲阜,农,兴63033,,,,,,
振64145,孔,振,男,80,1210-01-01,1295-01-01,是,河南,士,兴63149,,,,,,
振64146,孔,振,男,20,1221-01-01,1291-01-01,是,河南,官员,兴63059,,,,,,
振64147,孔,振,男,3,1204-01-01,1278-01-01,是,安徽,工,兴63077,,,,,,
振64148,孔,振,男,16,1212-01-01,1299-01-01,是,浙江,学者,孔毓2,,,,,,
振64149,孔,振,男,37,1222-01-01,1286-01-01,是,江苏,商,兴63119,,,,,,
毓65000,孔,毓,男,7,1246-01-01,1329-01-01,是,浙江,士,振64060,,,,,,
毓65001,孔,毓,男,91,1245-01-01,1312-01-01,是,河南,农,振64012,,,,,,
毓65002,孔,毓,男,59,1236-01-01,1315-01-01,是,江苏,儒,振64017,,,,,,
毓65003,孔,毓,男,45,1246-01-01,1314-01-01,是,山东,士,振64075,,,,,,
毓65004,孔,毓,男,88,1242-01-01,1317-01-01,是,河南,农,振64052,,,,,,
毓65005,孔,毓,男,7,1250-01-01,1335-01-01,是,浙江,官员,振64012,,,,,,
毓65006,孔,毓,男,91,1233-01-01,1303-01-01,是,江苏,学者,振64017,,,,,,
毓65007,孔,毓,男,32,1240-01-01,1322-01-01,是,安徽,官员,振64074,,,,,,
毓65008,孔,毓,男,8,1250-01-01,1318-01-01,是,安徽,儒,振64000,,,,,,
毓65009,孔,毓,男,77,1249-01-01,1338-01-01,是,曲阜,士,振64119,,,,,,
毓65010,孔,毓,男,100,1234-01-01,1316-01-01,是,安徽,儒,振64051,,,,,,
毓65011,孔,毓,男,79,1249-01-01,1314-01-01,是,曲阜,农,振64056,,,,,,
毓65012,孔,毓,男,100,1247-01-01,1331-01-01,是,安徽,士,振64149,,,,,,
毓65013,孔,毓,男,52,1245-01-01,1334-01-01,是,安徽,儒,振64064,,,,,,
毓65014,孔,毓,男,64,1237-01-01,1315-01-01,是,河南,工,振64046,,,,,,
毓65015,孔,毓,男,80,1250-01-01,1318-01-01,是,安徽,农,振64001,,,,,,
毓65016,孔,毓,男,61,1236-01-01,1306-01-01,是,河南,学者,振64105,,,,,,
毓65017,孔,毓,男,28,1252-01-01,1334-01-01,是,曲阜,儒,振64078,,,,,,
毓65018,孔,毓,男,91,1237-01-01,1306-01-01,是,安徽,学者,振64132,,,,,,
毓65019,孔,毓,男,95,1252-01-01,1322-01-01,是,安徽,儒,振64002,,,,,,
毓65020,孔,毓,男,34,1233-01-01,1310-01-01,是,曲阜,商,振64102,,,,,,
毓65021,孔,毓,男,99,1239-01-01,1317-01-01,是,安徽,士,振64109,,,,,,
毓65022,孔,毓,男,49,1244-01-01,1304-01-01,是,江苏,工,振64003,,,,,,
毓65023,孔,毓,男,29,1250-01-01,1337-01-01,是,山东,农,振64121,,,,,,
毓65024,孔,毓,男,94,1236-01-01,1326-01-01,是,安徽,商,振64115,,,,,,
毓65025,孔,毓,男,2,1240-01-01,1329-01-01,是,安徽,农,振64018,,,,,,
毓65026,孔,毓,男,57,1249-01-01,1325-01-01,是,江苏,学者,振64010,,,,,,
毓65027,孔,毓,男,32,1252-01-01,1327-01-01,是,山东,农,振64068,,,,,,
毓65028,孔,毓,男,30,1244-01-01,1329-01-01,是,安徽,士,振64124,,,,,,
毓65029,孔,毓,男,77,1252-01-01,1340-01-01,是,安徽,官员,振64149,,,,,,
毓65030,孔,毓,男,50,1240-01-01,1323-01-01,是,浙江,儒,振64025,,,,,,
毓65031,孔,毓,男,57,1236-01-01,1308-01-01,是,江苏,官员,振64053,,,,,,
毓65032,孔,毓,男,7,1233-01-01,1301-01-01,是,山东,商,振64138,,,,,,
毓65033,孔,毓,男,92,1237-01-01,1314-01-01,是,浙江,士,振64086,,,,,,
毓65034,孔,毓,男,24,1238-01-01,1327-01-01,是,江苏,工,振64069,,,,,,
毓65035,孔,毓,男,71,1236-01-01,1322-01-01,是,曲阜,工,振64082,,,,,,
毓65036,孔,毓,男,34,1246-01-01,1335-01-01,是,河南,儒,振64084,,,,,,
毓65037,孔,毓,男,38,1249-01-01,1309-01-01,是,安徽,农,振64011,,,,,,
毓65038,孔,毓,男,20,1232-01-01,1305-01-01,是,曲阜,儒,振64067,,,,,,
毓65039,孔,毓,男,53,1233-01-01,1298-01-01,是,江苏,学者,振64106,,,,,,
毓65040,孔,毓,男,63,1241-01-01,1324-01-01,是,江苏,商,振64133,,,,,,
毓65041,孔,毓,男,61,1243-01-01,1324-01-01,是,浙江,士,振64014,,,,,,
毓65042,孔,毓,男,43,1248-01-01,1329-01-01,是,曲阜,士,振64107,,,,,,
毓65043,孔,毓,男,45,1246-01-01,1307-01-01,是,山东,商,振64089,,,,,,
毓65044,孔,毓,男,25,1234-01-01,1308-01-01,是,安徽,农,振64117,,,,,,
毓65045,孔,毓,男,83,1232-01-01,1307-01-01,是,江苏,士,振64124,,,,,,
毓65046,孔,毓,男,61,1236-01-01,1302-01-01,是,曲阜,士,振64114,,,,,,
毓65047,孔,毓,男,4,1243-01-01,1306-01-01,是,浙江,工,振64047,,,,,,
毓65048,孔,毓,男,38,1244-01-01,1315-01-01,是,河南,士,振64057,,,,,,
毓65049,孔,毓,男,26,1250-01-01,1314-01-01,是,河南,商,振64019,,,,,,
毓65050,孔,毓,男,39,1240-01-01,1328-01-01,是,安徽,官员,振64088,,,,,,
毓65051,孔,毓,男,3,1246-01-01,1318-01-01,是,安徽,商,振64098,,,,,,
毓65052,孔,毓,男,16,1247-01-01,1333-01-01,是,河南,学者,振64115,,,,,,
毓65053,孔,毓,男,36,1235-01-01,1312-01-01,是,河南,商,振64049,,,,,,
毓65054,孔,毓,男,54,1238-01-01,1305-01-01,是,曲阜,商,振64026,,,,,,
毓65055,孔,毓,男,96,1244-01-01,1334-01-01,是,曲阜,商,振64024,,,,,,
毓65056,孔,毓,男,93,1234-01-01,1302-01-01,是,浙江,商,振64083,,,,,,
毓65057,孔,毓,男,92,1250-01-01,1329-01-01,是,安徽,学者,振64043,,,,,,
毓65058,孔,毓,男,33,1246-01-01,1313-01-01,是,河南,商,振64062,,,,,,
毓65059,孔,毓,男,30,1232-01-01,1294-01-01,是,山东,商,振64134,,,,,,
毓65060,孔,毓,男,49,1235-01-01,1315-01-01,是,安徽,士,振64104,,,,,,
毓65061,孔,毓,男,95,1240-01-01,1307-01-01,是,曲阜,工,振64088,,,,,,
毓65062,孔,毓,男,73,1251-01-01,1325-01-01,是,安徽,工,振64106,,,,,,
毓65063,孔,毓,男,60,1243-01-01,1320-01-01,是,安徽,商,振64008,,,,,,
毓65064,孔,毓,男,45,1242-01-01,1314-01-01,是,山东,士,振64024,,,,,,
毓65065,孔,毓,男,100,1239-01-01,1329-01-01,是,曲阜,学者,振64062,,,,,,
毓65066,孔,毓,男,33,1252-01-01,1317-01-01,是,安徽,儒,振64071,,,,,,
毓65067,孔,毓,男,41,1248-01-01,1335-01-01,是,安徽,官员,振64051,,,,,,
毓65068,孔,毓,男,32,1232-01-01,1297-01-01,是,河南,官员,振64016,,,,,,
毓65069,孔,毓,男,42,1251-01-01,1316-01-01,是,安徽,学者,振64036,,,,,,
毓65070,孔,毓,男,58,1240-01-01,1300-01-01,是,浙江,工,振64017,,,,,,
毓65071,孔,毓,男,43,1239-01-01,1304-01-01,是,河南,官员,振64038,,,,,,
毓65072,孔,毓,男,69,1232-01-01,1318-01-01,是,曲阜,商,振64122,,,,,,
毓65073,孔,毓,男,87,1239-01-01,1311-01-01,是,江苏,儒,振64046,,,,,,
毓65074,孔,毓,男,49,1250-01-01,1323-01-01,是,浙江,学者,振64058,,,,,,
毓65075,孔,毓,男,27,1235-01-01,1320-01-01,是,安徽,官员,振64085,,,,,,
毓65076,孔,毓,男,87,1240-01-01,1327-01-01,是,江苏,农,振64116,,,,,,
毓65077,孔,毓,男,59,1251-01-01,1328-01-01,是,河南,士,振64042,,,,,,
毓65078,孔,毓,男,6,1237-01-01,1327-01-01,是,曲阜,工,振64129,,,,,,
毓65079,孔,毓,男,57,1248-01-01,1319-01-01,是,江苏,学者,振64020,,,,,,
毓65080,孔,毓,男,83,1250-01-01,1329-01-01,是,山东,学者,振64000,,,,,,
